"","N_SQ_VO","VOIE_ID"
"32486","750003641","2839"
"32497","750003642","2845"
"32511","750006432","2870"
"32517","750003647","2874"
"32534","750003648","2876"
"32539","750003649","2878"
"32560","750006433","2879"
"32580","750003650","2882"
"32599","750006434","2900"
"32612","750003655","2902"
"32624","750003346","4755"
"32664","750003244","4990"
"32682","750003162","5673"
"32696","750003595","3013"
"32725","750006369","6534"
"32801","750003069","6538"
"32896","750003071","6542"
"32954","750003596","3021"
"33038","750002948","7211"
"33062","750002817","7822"
"33070","750003601","3050"
"33075","750002643","9105"
"33115","750002587","9291"
"33124","750003616","3150"
"33139","750003617","3154"
"33150","750003619","3174"
"33157","750007217","3222"
"33171","750003546","3254"
"33184","750000269","3267"
"33219","750003554","3277"
"33231","750003566","3367"
"33252","750003574","3395"
"33299","750003585","3430"
"33304","750003507","3457"
"33337","750003520","3506"
"33352","750000271","3617"
"33376","750003543","3629"
"33379","750003490","3805"
"33394","750003489","3792"
"33408","750007314","3821"
"33416","750007190","3819"
"33460","750003498","3891"
"33478","750003431","3943"
"33535","750002429","4123"
"33561","750003460","4069"
"33582","750003389","4106"
"33610","750003394","4131"
"33620","750003405","4170"
"33637","750003413","4204"
"33643","750003352","4366"
"33655","750003360","4399"
"33684","750007316","4465"
"33733","750006401","4481"
"33742","750006105","4525"
"33756","750003383","4507"
"33782","750006966","4753"
"33783","750008078","5001"
"33801","750002433","4768"
"33814","750006399","4761"
"33840","750002426","4766"
"33851","750003348","4760"
"33871","750003274","4783"
"33897","750003276","4796"
"33903","750002411","4794"
"33926","750002428","4793"
"33938","750003283","4818"
"33949","750007358","4938"
"33977","750003286","4828"
"34101","750003290","4841"
"34119","750003293","4852"
"34163","750003297","4889"
"34173","750003308","4940"
"34182","750007742","4975"
"34195","750003250","5045"
"34207","750003252","5090"
"34222","750003256","5144"
"34233","750003261","5191"
"34257","750003193","5366"
"34296","750003198","5398"
"34317","750007723","5455"
"34340","750003213","5498"
"34388","750006383","5528"
"34400","750008075","5728"
"34421","750003173","5723"
"34470","750003177","5743"
"34475","750007967","5811"
"34501","750003114","5833"
"34505","750003129","5920"
"34520","750000273","5949"
"34548","750007228","6019"
"34575","750007229","5800"
"34617","750007441","6061"
"34624","750003076","6055"
"34652","750003081","6064"
"34669","750003088","6128"
"34679","750003097","6133"
"34688","750003111","6242"
"34724","750006375","6251"
"34727","750003036","6261"
"34737","750003013","6634"
"34919","750006108","6675"
"34976","750003023","6699"
"34991","750003024","6703"
"35001","750007362","6712"
"35019","750006977","6831"
"35044","750002981","6890"
"35062","750004444","7001"
"35116","750007261","6949"
"35129","750002925","7055"
"35164","750002930","7093"
"35181","750002932","7099"
"35190","750002933","7101"
"35207","750007232","7106"
"35230","750002941","7151"
"35236","750002887","7336"
"35257","750002892","7344"
"35267","750002907","7395"
"35290","750006354","7450"
"35318","750002916","7453"
"35338","750002859","7556"
"35359","750002814","7804"
"35376","750007233","7807"
"35417","750002431","8061"
"35449","750002772","8095"
"35571","750007180","8139"
"35613","750002780","8130"
"35615","750002784","8149"
"35621","750002792","8193"
"35637","750002750","8381"
"35663","750002710","8858"
"35694","750002668","8441"
"35714","750002611","8606"
"35729","750002612","9097"
"35746","750002614","8620"
"35761","750006321","8708"
"35771","750002644","9106"
"35784","750006111","9267"
"35842","750002586","9268"
"35852","750002588","9305"
"35859","750002604","9392"
"35873","750000279","9459"
"35887","750002427","9615"
"35896","750002550","9642"
"35939","750002562","9710"
"36026","750002486","9725"
"36039","750002520","9898"
"36062","750002522","9925"
"36083","750006311","9927"
"36101","750002448","9959"
"36136","750002449","9962"
"36152","750002450","9970"
"36176","750000280","9991"
"36184","750004080","156"
"36196","750004033","312"
"36214","750004047","381"
"36220","750003154","5627"
"36227","750002877","7712"
"36243","750003039","6294"
"36249","750002885","7325"
"36275","750003155","5629"
"36285","750003597","3022"
"36308","750002556","9684"
"36315","750003417","4252"
"36322","750003085","6073"
"36327","750002746","8336"
"36331","750004062","519"
"36372","750003682","2604"
"36402","750003695","2691"
"36408","750003403","4165"
"36417","750003576","3399"
"36444","750003026","6721"
"36458","750007234","8230"
"36483","750002592","9322"
"36486","750002145","Y623"
"36490","750002147","Y643"
"36496","750000587","Y390"
"36499","750000244","2797"
"36504","750000560","4570"
"36508","750000245","1951"
"36523","750001463","3970"
"36533","750007445","4532"
"36539","750008038","6722"
"36541","750000836","8274"
"36544","750000673","9711"
"36566","750000056","Y709"
"36567","750001992","315"
"36591","750001729","2602"
"36605","750000911","7617"
"36623","750000914","7655"
"36634","750006164","7689"
"36660","750000923","7630"
"36665","750000925","7659"
"36668","750007154","8592"
"36703","750006508","6805"
"36724","750001663","2704"
"36769","750007290","2210"
"36773","750001496","4036"
"36918","750001422","4037"
"36931","750001141","5850"
"37096","750001605","3385"
"37113","750001441","4085"
"37135","750001319","4825"
"37201","750001135","5771"
"37210","750001159","5960"
"37243","750001103","6117"
"37251","750000991","7040"
"37263","750006177","7126"
"37291","750000960","7418"
"37306","750000889","8098"
"37365","750006160","8131"
"37445","750000835","8270"
"37451","750000695","9812"
"37494","750000403","Y134"
"37534","750001889","1328"
"37700","750004485","6455"
"37757","750001643","3142"
"37812","750001336","4916"
"37906","750004435","8055"
"38001","750000794","8868"
"38076","750008070","Y972"
"38077","750000406","Y194"
"38080","750001996","340"
"38092","750001975","724"
"38113","750001930","1017"
"38123","750001030","6702"
"38130","750000411","Y264"
"38137","750001841","1634"
"38145","750001534","3923"
"38153","750006185","6547"
"38185","750000847","8351"
"38191","750001576","3705"
"38201","750001221","5359"
"38205","750006200","5756"
"38213","750001017","6609"
"38221","750006159","8099"
"38232","750000857","8753"
"38236","750000657","9636"
"38240","750001725","2564"
"38254","750001451","4116"
"38260","750000728","9353"
"38277","750001592","3305"
"38312","750002019","456"
"38319","750001596","3328"
"38321","750001564","3609"
"38325","750006210","4870"
"38329","750001069","6385"
"38344","750000824","8221"
"38357","750000773","9163"
"38369","750008057","221"
"38376","750007443","264"
"38378","750006955","2290"
"38386","750001838","1596"
"38411","750002084","7"
"38416","750006911","3965"
"38427","750002058","293"
"38438","750000912","7618"
"38441","750000920","7690"
"38457","750001083","6511"
"38460","750001662","2703"
"38482","750006269","2047"
"38491","750007959","2954"
"38494","750000737","8558"
"38507","750000611","9838"
"38513","750007269","3434"
"38515","750001560","3591"
"38517","750007283","4928"
"38525","750001261","4957"
"38526","750007305","5913"
"38538","750007532","6051"
"38543","750006511","6903"
"38544","750000795","8870"
"38551","750008046","9090"
"38557","750008002","9099"
"38562","750000647","9757"
"38567","750002088","46"
"38573","750002090","59"
"38585","750002021","130"
"38619","750002031","154"
"38630","750002044","204"
"38642","750002051","243"
"38664","750002002","354"
"38702","750001941","468"
"38725","750001947","521"
"38745","750001952","536"
"38751","750001963","619"
"38767","750001967","655"
"38793","750001979","783"
"38857","750001908","852"
"38911","750001914","897"
"38922","750001925","949"
"38971","750001939","1085"
"39032","750001865","1164"
"39086","750001868","1180"
"39105","750001874","1248"
"39130","750001883","1292"
"39163","750001887","1319"
"39204","750001888","1325"
"39210","750001894","1401"
"39240","750001818","1463"
"39277","750008031","1550"
"39287","750001836","1586"
"39309","750001842","1635"
"39336","750001784","1837"
"39349","750001790","1863"
"39359","750001703","2364"
"39370","750001708","2441"
"39383","750001716","2505"
"39481","750002034","165"
"39509","750002036","170"
"39762","750001722","2551"
"39777","750002007","402"
"39798","750001726","2565"
"39862","750001927","977"
"39869","750001800","1923"
"39899","750001704","2367"
"39937","750001735","2647"
"39978","750001452","4117"
"40074","750001382","4228"
"40078","750002078","3"
"40175","750002080","20"
"40179","750001885","1305"
"40191","750001812","2052"
"40201","750006237","3924"
"40246","750001241","5414"
"40248","750001737","2667"
"40340","750000851","8402"
"40452","750006150","8461"
"40464","750000724","9326"
"40615","750001945","506"
"40652","750001658","2677"
"40669","750007168","3300"
"40682","750007169","3302"
"40693","750001540","3476"
"40718","750001050","6894"
"40858","750001666","2716"
"40896","750001011","7195"
"40902","750000965","7463"
"40954","750000823","8211"
"40974","750002006","387"
"40991","750002017","449"
"41025","750007164","887"
"41032","750006278","1447"
"41035","750001331","4888"
"41038","750001170","6010"
"41070","750000966","7472"
"41169","750001677","2761"
"41186","750000766","8734"
"41211","750000710","9241"
"41254","750001680","2817"
"41387","750006179","6816"
"41413","750001623","2976"
"41429","750006266","1907"
"41549","750006261","2213"
"41551","750001767","2238"
"41588","750001768","2242"
"41620","750001624","2982"
"41684","750001667","2719"
"41705","750001620","2935"
"41712","750001551","3543"
"41756","750001486","4019"
"41759","750001491","4028"
"41771","750001431","4050"
"41776","750001196","5611"
"41777","750001200","5669"
"41794","750001136","5781"
"41814","750001142","5851"
"41831","750004486","6456"
"41860","750001084","6535"
"41887","750006920","6536"
"41905","750001085","6548"
"42010","750000976","6969"
"42036","750000935","7207"
"42106","750000866","7821"
"42116","750000792","8854"
"42154","750006146","9198"
"42200","750001647","3160"
"42209","750001649","3170"
"42240","750001578","3258"
"42249","750001579","3260"
"42273","750001582","3266"
"42277","750001586","3289"
"42282","750001601","3359"
"42303","750001538","3459"
"42309","750001565","3610"
"42326","750006239","3624"
"42336","750001569","3635"
"42356","750001507","3798"
"42376","750001528","3874"
"42421","750001529","3881"
"42467","750001531","3896"
"42482","750001462","3969"
"42534","750001468","3989"
"42543","750001472","3998"
"42570","750001437","4072"
"42586","750001440","4080"
"42600","750001448","4094"
"42612","750001456","4136"
"42640","750001398","4355"
"42677","750001405","4370"
"42691","750001411","4409"
"42772","750001418","4480"
"42780","750004719","4479"
"42783","750001346","4517"
"42814","750001350","4529"
"42818","750007979","4555"
"42824","750001358","4553"
"42878","750008029","4575"
"42886","750001362","4598"
"42900","750001378","4724"
"42924","750007173","4864"
"42941","750001309","4791"
"42971","750007174","4863"
"42980","750001326","4848"
"43004","750001327","4871"
"43018","750001330","4885"
"43025","750006211","4891"
"43071","750001260","4956"
"43099","750001266","4976"
"43106","750001274","5136"
"43134","750001285","5198"
"43159","750001298","5283"
"43162","750001222","5360"
"43177","750001224","5364"
"43178","750001227","5380"
"43185","750001235","5394"
"43203","750001236","5400"
"43239","750001243","5430"
"43248","750001246","5450"
"43259","750001176","5495"
"43281","750001182","5514"
"43292","750001194","5591"
"43347","750001195","5595"
"43354","750001209","5739"
"43387","750001143","5863"
"43408","750001164","5983"
"43420","750007978","6032"
"43438","750001168","5997"
"43445","750001169","6004"
"43455","750001102","6116"
"43463","750001104","6119"
"43471","750001106","6122"
"43485","750001107","6124"
"43538","750001108","6127"
"43555","750001111","6153"
"43586","750001117","6209"
"43589","750001070","6386"
"43615","750001075","6434"
"43623","750001081","6494"
"43657","750001086","6561"
"43685","750001018","6610"
"43696","750001031","6705"
"43701","750001036","6717"
"43716","750006180","6829"
"43748","750000989","7034"
"43758","750001000","7091"
"43801","750001006","7131"
"43819","750000940","7228"
"43909","750007781","7370"
"43917","750000958","7405"
"43972","750000959","7413"
"43973","750000970","7503"
"43981","750006173","7514"
"44000","750000862","7796"
"44001","750000864","7814"
"44013","750000885","8066"
"44256","750000892","8114"
"44318","750000839","8282"
"44336","750000841","8302"
"44349","750000856","8423"
"44350","750000787","9062"
"44358","750000804","9007"
"44392","750000809","8468"
"44453","750000744","8581"
"44469","750000751","8617"
"44477","750000757","8644"
"44493","750000711","9247"
"44516","750007182","9269"
"44524","750000658","9639"
"44541","750000668","9696"
"44731","750000682","9753"
"44742","750007156","9774"
"44755","750000627","9952"
"44763","750002023","132"
"44772","750002045","216"
"44779","750001989","321"
"44783","750001953","538"
"44793","750001801","1924"
"44813","750006302","111"
"44817","750006260","2668"
"44829","750000921","7691"
"44836","750001078","6474"
"44934","750001420","4487"
"44944","750006199","5721"
"44947","750001051","6324"
"44962","750002093","72"
"44964","750002094","76"
"44970","750001890","1330"
"44993","750001754","2176"
"45007","750001755","2193"
"45022","750002037","171"
"45069","750000019","5759"
"45095","750001673","2748"
"45125","750000967","7473"
"45127","750001047","6861"
"45136","750000977","6971"
"45151","750001639","3089"
"45178","750001412","4410"
"45188","750001299","4728"
"45207","750001131","5757"
"45210","750001150","5889"
"45239","750007201","6192"
"45252","750001130","6323"
"45257","750000796","8872"
"45274","750000743","8578"
"45299","750007237","8665"
"45312","750000616","9848"
"45324","750007446","5487"
"45328","750000471","Y015"
"45329","750007250","913"
"45351","750001715","2497"
"45352","750000585","3875"
"45362","750000243","1494"
"45377","750007002","2246"
"45379","750006778","4142"
"45391","750008019","4654"
"45416","750007973","4668"
"45437","750000255","5418"
"45465","750006775","5989"
"45478","750007974","5977"
"45500","750002026","141"
"45549","750005014","1285"
"45563","750006274","1713"
"45576","750004626","5230"
"45605","750000906","7606"
"45627","750006162","7667"
"45649","750000916","7669"
"45660","750000918","7684"
"45684","750001659","2681"
"45691","750004581","5768"
"45708","750004359","8495"
"45718","750004287","8541"
"45729","750006483","8728"
"45859","750001587","3293"
"45984","750001604","3381"
"46014","750001558","3572"
"46147","750006175","7073"
"46151","750007457","8289"
"46153","750000785","9043"
"46163","750000404","Y135"
"46166","750001385","4272"
"46317","750006235","3872"
"46327","750000666","9670"
"46420","750001535","3930"
"46425","750001460","3960"
"46508","750001237","5404"
"46646","750000984","7018"
"46732","750000680","9750"
"46807","750000254","Y427"
"46811","750000274","Y733"
"46823","750000407","Y195"
"46825","750001948","523"
"46829","750001545","3519"
"46844","750006184","6497"
"46866","750000718","9287"
"46876","750007205","Y872"
"46877","750007207","Y892"
"46895","750007208","Y880"
"46897","750007243","Y879"
"46907","750007245","Y877"
"46917","750007351","Y948"
"46930","750006915","B104"
"46937","750000412","Y265"
"46940","750000414","Y285"
"46943","750000415","Y305"
"46954","750002047","225"
"46960","750001853","1743"
"46964","750001651","3202"
"46973","750001591","3303"
"46979","750000860","7782"
"46985","750001694","2911"
"46993","750001769","2244"
"46994","750001271","5125"
"47007","750001391","4302"
"47020","750001097","6084"
"47026","750000820","8194"
"47032","750000843","8323"
"47033","750002038","173"
"47037","750001721","2545"
"47047","750001779","1788"
"47055","750001642","3130"
"47068","750001593","3312"
"47080","750001695","2912"
"47088","750001627","2997"
"47106","750001043","6825"
"47114","750007258","8184"
"47124","750000816","8529"
"47129","750002089","57"
"47146","750000321","162"
"47156","750006780","206"
"47160","750002052","245"
"47162","750007049","275"
"47164","750001964","625"
"47172","750001926","972"
"47176","750001896","1443"
"47183","750001816","1451"
"47186","750001792","1866"
"47193","750001795","1880"
"47194","750002048","226"
"47202","750001878","1269"
"47226","750005015","1287"
"47230","750001067","6375"
"47235","750000922","7692"
"47262","750001366","4634"
"47265","750007141","6063"
"47271","750001827","1526"
"47279","750001770","2245"
"47300","750001480","4010"
"47307","750007230","6540"
"47311","750001633","3034"
"47325","750001607","3423"
"47350","750001546","3521"
"47358","750001348","4521"
"47360","750001375","4735"
"47370","750007892","4984"
"47374","750007022","5952"
"47379","750006776","6000"
"47383","750006157","8046"
"47402","750007027","8251"
"47403","750000780","8792"
"47415","750000612","9840"
"47425","750006281","988"
"47427","750001386","4273"
"47429","750001461","3961"
"47430","750001127","6304"
"47431","750001387","4274"
"47438","750001303","4756"
"47443","750004304","8729"
"47446","750001985","305"
"47525","750005013","1265"
"47544","750001388","4275"
"47611","750001369","4678"
"47650","750000905","7575"
"47652","750000781","8793"
"47653","750002022","131"
"47680","750002024","133"
"47698","750002039","175"
"47713","750002050","242"
"47745","750001988","294"
"47791","750001994","343"
"47810","750001993","316"
"47817","750001998","344"
"47832","750002001","352"
"47860","750002003","357"
"47867","750002004","365"
"47868","750002010","407"
"47886","750006290","424"
"47901","750001946","515"
"47910","750001949","524"
"47936","750001950","529"
"47941","750001955","542"
"47961","750001965","626"
"48076","750001968","661"
"48141","750001970","677"
"48152","750001976","730"
"48177","750006287","753"
"48194","750001978","766"
"48210","750001903","818"
"48220","750001931","1031"
"48400","750001856","1121"
"48423","750001858","1142"
"48440","750001862","1157"
"48454","750001873","1227"
"48479","750001875","1264"
"48604","750006276","1321"
"48619","750001897","1444"
"48724","750001819","1467"
"48734","750001825","1521"
"48743","750001834","1558"
"48758","750001837","1588"
"48885","750001840","1604"
"48934","750001843","1643"
"48959","750001845","1655"
"48976","750001789","1861"
"49000","750006265","1881"
"49010","750001797","1904"
"49026","750001802","1947"
"49057","750001750","2107"
"49074","750001751","2127"
"49082","750001753","2149"
"49097","750001775","2311"
"49124","750001696","2326"
"49143","750001705","2388"
"49147","750002035","167"
"49157","750006294","227"
"49257","750001717","2515"
"49274","750001720","2539"
"49299","750006291","443"
"49316","750001895","1407"
"49335","750006270","1574"
"49341","750001851","1699"
"49379","750001803","1969"
"49395","750001712","2458"
"49441","750006257","2546"
"49525","750001304","4758"
"49704","750006298","10"
"49855","750002082","13"
"49861","750006271","1611"
"49873","750001772","2301"
"50108","750001710","2452"
"50342","750001554","3563"
"50437","750006297","286"
"50517","750001063","6379"
"50535","750001065","6377"
"50574","750001064","6381"
"50623","750001291","5245"
"50635","750000924","7635"
"50664","750000865","7819"
"50763","750002013","430"
"50787","750000845","8334"
"50803","750002015","438"
"50830","750000854","8420"
"50859","750001962","586"
"50886","750001652","3203"
"50977","750006220","4425"
"50985","750006214","4624"
"51021","750001212","5755"
"51216","750001072","6401"
"51223","750000968","7492"
"51236","750000903","7552"
"51264","750000859","7783"
"51290","750001668","2727"
"51330","750001915","886"
"51390","750006272","1658"
"51483","750001594","3313"
"51573","750004292","8585"
"51592","750001553","3558"
"51644","750001524","3870"
"51664","750001082","6498"
"51763","750001674","2756"
"51849","750000939","7216"
"51882","750000872","7920"
"51916","750000763","8680"
"51938","750000620","9868"
"51993","750004266","9671"
"52296","750000679","9745"
"52305","750000692","9799"
"52325","750000617","9849"
"52335","750000623","9886"
"52410","750001615","2913"
"52480","750006100","2916"
"52483","750001045","6841"
"52505","750001049","6892"
"52524","750006280","940"
"52530","750001932","1054"
"52534","750001821","1500"
"52543","750001823","1503"
"52554","750004908","1972"
"52566","750001752","2141"
"52593","750001759","2205"
"52615","750001762","2224"
"52645","750001765","2235"
"52657","750001771","2247"
"52755","750001701","2356"
"52815","750001686","2850"
"52869","750001689","2864"
"52880","750001692","2894"
"52926","750001479","4007"
"52932","750001481","4011"
"52959","750001484","4018"
"52969","750001485","4058"
"52983","750001488","4044"
"52990","750001489","4026"
"53006","750001628","2998"
"53014","750001413","4413"
"53057","750001629","3003"
"53078","750001295","5261"
"53108","750001197","5615"
"53122","750001062","6371"
"53134","750000955","7354"
"53148","750001634","3036"
"53188","750000278","7824"
"53251","750001636","3061"
"53293","750000755","8640"
"53301","750000759","8656"
"53305","750000698","9205"
"53449","750001640","3092"
"53502","750000327","3145"
"53538","750001645","3155"
"53546","750001646","3157"
"53562","750001653","3233"
"53630","750001580","3262"
"53652","750001590","3298"
"53672","750000328","3366"
"53683","750006245","3383"
"53712","750001611","3443"
"53739","750001614","3455"
"53758","750001547","3522"
"53889","750001548","3524"
"53920","750001559","3574"
"53936","750006238","3588"
"53943","750001562","3599"
"53966","750001570","3667"
"53993","750006241","3669"
"54019","750001498","3720"
"54108","750001503","3777"
"54122","750001510","3806"
"54158","750001511","3808"
"54170","750001514","3820"
"54184","750001516","3830"
"54208","750001517","3837"
"54224","750006233","3852"
"54236","750001520","3854"
"54241","750006234","3865"
"54297","750001533","3916"
"54313","750001465","3972"
"54319","750001466","3975"
"54344","750000332","4125"
"54368","750001439","4078"
"54382","750007191","4152"
"54408","750006777","4143"
"54412","750006222","4102"
"54424","750001446","4092"
"54458","750001449","4110"
"54478","750001455","4135"
"54516","750001381","4226"
"54540","750006218","4369"
"54542","750001408","4382"
"54616","750001419","4482"
"54633","750001421","4489"
"54643","750006112","4534"
"54704","750001354","4538"
"54712","750001359","4588"
"54721","750001361","4597"
"54737","750001371","4713"
"54772","750001376","4718"
"54781","750001308","4787"
"54807","750001310","4799"
"54814","750001316","4816"
"54852","750001320","4831"
"54867","750007197","4867"
"54874","750001322","4838"
"54891","750001324","4842"
"54897","750001328","4872"
"54920","750001332","4908"
"54930","750006212","4902"
"54948","750001340","4932"
"54986","750001259","4951"
"54997","750001265","4971"
"55007","750001272","5127"
"55083","750001276","5148"
"55146","750001277","5151"
"55171","750001284","5196"
"55203","750001296","5273"
"55249","750001217","5326"
"55253","750001219","5356"
"55345","750001233","5391"
"55666","750001238","5405"
"55675","750006204","5477"
"55683","750001253","5479"
"55703","750001255","5483"
"55711","750001178","5497"
"55721","750001179","5501"
"55727","750001180","5503"
"55741","750001183","5532"
"55771","750006779","5534"
"55776","750001188","5559"
"55848","750001193","5588"
"55860","750001199","5637"
"55918","750000752","8627"
"55939","750001205","5702"
"55948","750001134","5780"
"55964","750001139","5820"
"56051","750001147","5874"
"56060","750007320","1143"
"56068","750008009","6036"
"56079","750001171","6013"
"56091","750001091","6023"
"56114","750001098","6089"
"56164","750001099","6101"
"56183","750001105","6121"
"56196","750001113","6168"
"56206","750001126","6301"
"56246","750001129","6319"
"56254","750001052","6326"
"56272","750001066","6382"
"56284","750001019","6614"
"56302","750001023","6651"
"56324","750001028","6693"
"56341","750001037","6733"
"56346","750001042","6822"
"56366","750001044","6826"
"56472","750006181","6880"
"56500","750000992","7042"
"56546","750000995","7058"
"56555","750000997","7069"
"56561","750001001","7097"
"56572","750001008","7154"
"56597","750004465","7218"
"56616","750000943","7253"
"56630","750000961","7422"
"56643","750006171","7442"
"56651","750006172","7485"
"56660","750000969","7498"
"56688","750000873","7982"
"56703","750007148","8138"
"56704","750000825","8235"
"56742","750000826","8237"
"56764","750000828","8243"
"56796","750000844","8329"
"56810","750006153","8331"
"56853","750000846","8349"
"56892","750006156","8755"
"56928","750000782","8794"
"57152","750000783","8798"
"57163","750000786","9046"
"57183","750000788","9063"
"57198","750000798","8890"
"57254","750000802","8973"
"57276","750000806","8456"
"57336","750000808","8465"
"57344","750000815","8513"
"57349","750006152","8523"
"57418","750000742","8571"
"57425","750000745","8586"
"57445","750000778","9192"
"57450","750000700","9216"
"57475","750000709","9236"
"57489","750000712","9249"
"57519","750006137","9288"
"57529","750000720","9298"
"57567","750000721","9303"
"57575","750000729","9381"
"57586","750000656","9614"
"57604","750000660","9654"
"57629","750000663","9659"
"57697","750000665","9668"
"57743","750000678","9741"
"57782","750000683","9756"
"57814","750000684","9759"
"57820","750000690","9788"
"57837","750000613","9841"
"57906","750000630","9980"
"57923","750002027","142"
"57929","750001876","1262"
"57933","750001788","1857"
"57956","750006207","5232"
"57958","750001669","2728"
"57971","750001675","2757"
"57978","750001709","2443"
"57987","750001588","3294"
"57991","750001522","3863"
"57998","750001325","4844"
"58018","750001174","5491"
"58025","750001132","5769"
"58026","750001157","5938"
"58028","750006187","6135"
"58037","750000985","7017"
"58040","750000703","9222"
"58044","750000672","9709"
"58056","750001711","2453"
"58088","750001389","4277"
"58094","750001943","479"
"58109","750001796","1885"
"58129","750006243","3314"
"58137","750001079","6482"
"58153","750001521","3855"
"58174","750000008","3963"
"58176","750001357","4549"
"58185","750007225","4566"
"58196","750006107","4776"
"58210","750001256","4933"
"58219","750001281","5173"
"58221","750001189","5560"
"58228","750007285","5980"
"58230","750000971","7512"
"58246","750000829","8244"
"58254","750000646","8791"
"58273","750000807","8457"
"58299","750000702","9218"
"58304","750000717","9274"
"58322","750000614","9843"
"58326","750000472","Y029"
"58329","750000474","Y043"
"58335","750000476","Y057"
"58340","750000477","Y064"
"58344","750000402","Y069"
"58346","750000371","Z041"
"58351","750000384","Z115"
"58353","750000388","Z121"
"58354","750000373","Z050"
"58373","750000432","Z011"
"58381","750000374","Z051"
"58382","750000354","Z194"
"58385","750002092","68"
"58401","750002028","146"
"58409","750002049","238"
"58419","750002053","251"
"58430","750001860","1149"
"58447","750006277","1367"
"58499","750001776","1754"
"58507","750001861","1153"
"58522","750001817","1460"
"58534","750006299","15"
"58544","750001282","5175"
"58563","750001383","4231"
"58605","750001289","5215"
"58634","750000429","Z003"
"58667","750006163","7679"
"58677","750000926","7647"
"58693","750001600","3353"
"58706","750000378","Z070"
"58709","750001144","5867"
"58757","750006182","6415"
"58776","750001076","6447"
"58785","750001024","6661"
"58788","750001026","6682"
"58818","750000898","7536"
"58826","750000848","8370"
"58832","750000352","Z192"
"58834","750001849","1688"
"58847","750001021","6628"
"58857","750000950","7322"
"58887","750006167","7715"
"58889","750000768","8749"
"58930","750000719","9294"
"58960","750000676","9728"
"59174","750001542","3497"
"59210","750006213","4603"
"59284","750001693","2904"
"59294","750001758","2202"
"59313","750001478","4006"
"59320","750001482","4016"
"59326","750001487","4022"
"59331","750001424","4039"
"59352","750001430","4049"
"59398","750001160","5967"
"59425","750001161","5968"
"59447","750001163","5972"
"59456","750006194","5973"
"59478","750000978","6975"
"59487","750000979","6977"
"59517","750006168","7776"
"59571","750004421","7780"
"59612","750000887","8083"
"59632","750006142","8677"
"59651","750001656","3242"
"59654","750001598","3348"
"59660","750001557","3573"
"59662","750001561","3593"
"59668","750001497","3711"
"59762","750001523","3866"
"59773","750001442","4084"
"59774","750006223","4088"
"59821","750001447","4093"
"59824","750000375","Z060"
"59829","750001401","4360"
"59838","750001344","4500"
"59881","750001365","4625"
"59891","750001262","4958"
"59912","750001269","5055"
"60024","750001175","5493"
"60032","750001181","5512"
"60049","750004604","5923"
"60091","750001155","5926"
"60095","750001156","5931"
"60119","750006190","6283"
"60128","750001087","6566"
"60264","750000998","7081"
"60346","750000941","7240"
"60364","750000882","8051"
"60386","750000884","8065"
"60488","750000894","8127"
"60510","750000837","8278"
"60515","750000793","8861"
"60525","750000705","9227"
"60536","750000707","9231"
"60602","750006133","9761"
"60781","750000615","9846"
"60801","750001991","331"
"60807","750000430","Z004"
"60821","750001898","790"
"60886","750002054","281"
"60922","750001660","2684"
"60942","750001077","6448"
"61058","750001655","3239"
"61096","750001541","3488"
"61224","750001571","3676"
"61310","750001264","4969"
"61328","750001292","5253"
"61396","750001153","5917"
"61402","750001013","6578"
"61558","750006143","8721"
"61670","750000713","9255"
"61671","750000104","Y658"
"61672","750007100","Y673"
"61677","750000408","Y196"
"61683","750000393","Z131"
"61684","750000438","Z021"
"61687","750000367","Z022"
"61692","750000427","Z001"
"61695","750000370","Z025"
"61696","750000357","Z197"
"61697","750000382","Z112"
"61698","750000360","Z203"
"61703","750001632","3032"
"61707","750007340","Y951"
"61716","750001302","4749"
"61723","750007970","Y966"
"61736","750000409","Y226"
"61741","750000413","Y266"
"61743","750001912","865"
"61751","750006282","1067"
"61811","750001863","1159"
"61836","750001279","5167"
"61843","750006189","6246"
"61859","750001414","6710"
"61864","750001145","5868"
"61866","750001904","824"
"61869","750001835","1562"
"61874","750000861","7788"
"61879","750007373","5351"
"61881","750007346","5802"
"61886","750000878","8014"
"61891","750000417","Y386"
"61894","750000418","Y406"
"61897","750000419","Y466"
"61901","750001609","3432"
"61904","750000748","8611"
"61916","750004975","1830"
"61917","750001807","2009"
"61920","750001749","2104"
"61923","750007295","372"
"61925","750001966","654"
"61927","750006898","1092"
"61929","750001757","2201"
"61931","750001700","2354"
"61937","750005092","231"
"61939","750000908","7599"
"61943","750000915","7665"
"61948","750000917","7680"
"61958","750006166","7643"
"61959","750000927","7648"
"61962","750006908","3205"
"61963","750006251","3204"
"61968","750000655","9582"
"61969","750001118","6231"
"61977","750000981","7011"
"61980","750006246","3406"
"61998","750006983","9315"
"62001","750000662","9658"
"62002","750001363","4605"
"62013","750001848","1742"
"62016","750006254","2860"
"62020","750001691","2890"
"62027","750001429","4067"
"62030","750001432","4051"
"62032","750006193","5966"
"62036","750000937","7215"
"62038","750001317","4811"
"62043","750001333","4894"
"62044","750007020","4964"
"62048","750001254","5481"
"62057","750006169","7376"
"62059","750000929","7717"
"62062","750000838","8279"
"62067","750000772","9147"
"62075","750000685","9762"
"62086","750001958","566"
"62089","750001732","2632"
